"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Favorable","Unfavorable","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration","Other","candidate","net"
"2707","YouGov/Economist","2015-04-25","2015-04-27","2015-05-01T23:25:02Z",1000,"Adults","Internet",29,30,41,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22090","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/1i8b982g6q/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-1
"2708","AP-GfK (web)","2015-04-23","2015-04-27","2015-05-02T00:41:19Z",1077,"Adults","Internet",15,19,66,"http://elections.huffingtonpost.com/pollster/polls/ap-gfk-web-22091","http://ap-gfkpoll.com/main/wp-content/uploads/2015/05/AP-GfK_Poll_April_2015_Topline_Politics_Clinton.pdf","Nonpartisan","None",,1,,"Walker",-4
"2709","Quinnipiac","2015-04-16","2015-04-21","2015-04-23T18:55:11Z",1353,"Registered Voters","Live Phone",24,21,55,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22054","http://www.quinnipiac.edu/images/polling/us/us04232015_Uknh62d.pdf","Nonpartisan","None",,1,,"Walker",3
"2710","YouGov/Economist","2015-04-18","2015-04-20","2015-04-23T20:19:36Z",1000,"Adults","Internet",32,33,36,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22055","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3nogobkv8t/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-1
"2711","YouGov/Economist","2015-04-11","2015-04-13","2015-04-16T00:21:33Z",1000,"Adults","Internet",29,30,41,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22021","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/22yxwjir5z/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-1
"2712","Bloomberg/Selzer","2015-04-06","2015-04-08","2015-04-17T22:18:05Z",1008,"Adults","Live Phone",21,21,58,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-22029","http://images.businessweek.com/cms/2015-04-15/150416_bloomberg_public_v2-837465.pdf","Nonpartisan","None",,1,,"Walker",0
"2713","YouGov/Economist","2015-04-04","2015-04-06","2015-04-15T23:30:32Z",1000,"Adults","Internet",30,31,39,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22020","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/qjpwkh2yvr/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-1
"2714","FOX","2015-03-29","2015-03-31","2015-04-03T21:16:49Z",1025,"Registered Voters","Live Phone",27,21,53,"http://elections.huffingtonpost.com/pollster/polls/fox-21968","http://www.foxnews.com/politics/interactive/2015/04/02/fox-news-poll-more-families-feel-worse-than-better-as-result-obamacare-walker/","Nonpartisan","None",,1,,"Walker",6
"2715","PPP (D)","2015-03-26","2015-03-31","2015-04-07T19:48:07Z",989,"Likely Voters","IVR/Online",32,34,35,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-21983","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_40715.pdf","Pollster","Dem",,1,,"Walker",-2
"2716","YouGov/Economist","2015-03-28","2015-03-30","2015-04-03T23:02:36Z",1000,"Adults","Internet",28,28,45,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21970","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/b242i919cj/econToplines.pdf","Nonpartisan","None",,1,,"Walker",0
"2717","ABC/Post","2015-03-26","2015-03-29","2015-04-02T21:14:39Z",1003,"Adults","Live Phone",23,30,47,"http://elections.huffingtonpost.com/pollster/polls/abc-post-21963","http://www.washingtonpost.com/page/2010-2019/WashingtonPost/2015/04/02/National-Politics/Polling/release_393.xml","Nonpartisan","None",,1,,"Walker",-7
"2718","YouGov/Economist","2015-03-21","2015-03-23","2015-03-27T20:44:33Z",1000,"Adults","Internet",28,30,41,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21931","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/onbotxemly/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-2
"2719","YouGov/Economist","2015-03-14","2015-03-16","2015-03-24T23:40:28Z",1000,"Adults","Internet",28,31,41,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21911","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/mfqsfo0scc/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-3
"2720","CNN","2015-03-13","2015-03-15","2015-03-19T00:55:37Z",1009,"Adults","Live Phone",21,21,58,"http://elections.huffingtonpost.com/pollster/polls/cnn-21887","http://i2.cdn.turner.com/cnn/2015/images/03/17/poll.2016.pdf","Nonpartisan","None",,1,,"Walker",0
"2721","YouGov/Economist","2015-03-07","2015-03-09","2015-03-25T19:51:35Z",1000,"Adults","Internet",27,29,44,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21914","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/w2usa9vt0b/econToplines%20(1).pdf","Nonpartisan","None",,1,,"Walker",-2
"2722","NBC/WSJ","2015-03-01","2015-03-05","2015-03-11T01:11:58Z",1000,"Adults","Live Phone",15,16,69,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-21839","http://newscms.nbcnews.com/sites/newscms/files/15110_nbc-wsj_march_poll_3-9-15_release.pdf","Nonpartisan","None",,1,,"Walker",-1
"2723","Gallup","2015-03-02","2015-03-04","2015-03-13T01:47:47Z",1522,"Adults","Live Phone",20,18,62,"http://elections.huffingtonpost.com/pollster/polls/gallup-21866","http://www.gallup.com/poll/181916/americans-views-netanyahu-less-positive-post-visit.aspx","Nonpartisan","None",,1,,"Walker",2
"2724","YouGov/Economist","2015-02-28","2015-03-02","2015-03-09T21:13:37Z",1000,"Adults","Internet",26,29,44,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21835","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/dwof401ark/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-3
"2725","Quinnipiac","2015-02-26","2015-03-02","2015-03-05T21:56:04Z",1286,"Registered Voters","Live Phone",23,24,53,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-21821","http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2172","Nonpartisan","None",,1,,"Walker",-1
"2726","YouGov/Economist","2015-02-21","2015-02-23","2015-02-27T01:55:05Z",1000,"Adults","Internet",25,26,48,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21792","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/2q8maq3vef/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-1
"2727","PPP (D)","2015-02-20","2015-02-22","2015-02-26T03:01:42Z",691,"Likely Voters","IVR/Online",26,41,33,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-21784","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_22515.pdf","Pollster","Dem",,1,,"Walker",-15
"2728","YouGov/Economist","2015-02-07","2015-02-09","2015-02-18T02:05:00Z",1000,"Adults","Internet",27,26,48,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21744","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/xppzgoshem/econToplines%20(3).pdf","Nonpartisan","None",,1,,"Walker",1
"2729","YouGov/Economist","2015-01-31","2015-02-02","2015-02-06T01:52:36Z",1000,"Adults","Internet",26,25,49,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21693","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/p38svgr9rn/econToplines.pdf","Nonpartisan","None",,1,,"Walker",1
"2730","YouGov/Economist","2015-01-24","2015-01-26","2015-02-06T01:10:43Z",1000,"Adults","Internet",28,28,44,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21692","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/94ju0513wp/econToplines.pdf","Nonpartisan","None",,1,,"Walker",0
"2731","YouGov/Economist","2015-01-17","2015-01-19","2015-01-22T02:07:08Z",1000,"Adults","Internet",23,32,45,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21629","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/7ukpj83qpe/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-9
"2732","YouGov/Economist","2015-01-10","2015-01-12","2015-01-15T00:35:02Z",1000,"Adults","Internet",30,31,39,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21599","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/jpkqpdm59t/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-1
"2733","YouGov/Economist","2015-01-03","2015-01-05","2015-01-07T21:41:36Z",1000,"Adults","Internet",25,28,48,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21576","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/biwuw36tjk/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-3
"2734","YouGov/Economist","2014-12-27","2014-12-29","2015-01-07T04:16:27Z",1000,"Adults","Internet",29,31,40,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21572","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ing4x6qpf7/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-2
"2735","YouGov/Economist","2014-12-20","2014-12-22","2015-01-07T04:01:46Z",1000,"Adults","Internet",24,31,45,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21571","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ip6c30gywc/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-7
"2736","YouGov/Economist","2014-12-13","2014-12-15","2014-12-24T17:40:54Z",1000,"Adults","Internet",25,32,43,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21545","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/e0pwlx2jc8/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-7
"2737","YouGov/Economist","2014-12-06","2014-12-08","2014-12-24T17:35:28Z",1000,"Adults","Internet",22,32,45,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21544","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/teo2s0zz5p/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-10
"2738","YouGov/Economist","2014-11-22","2014-11-24","2014-12-05T23:23:00Z",1000,"Adults","Internet",28,27,45,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21493","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/6tb0rolzqi/econToplines.pdf","Nonpartisan","None",,1,,"Walker",1
"2739","YouGov/Economist","2014-11-15","2014-11-17","2014-12-05T23:16:30Z",1000,"Adults","Internet",24,32,44,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21492","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/c71vqg1zu1/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-8
"2740","NBC/WSJ","2014-11-14","2014-11-17","2014-11-19T23:47:09Z",1000,"Adults","Live Phone",15,14,71,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-21447","http://newscms.nbcnews.com/sites/newscms/files/141581_november_nbc-wsj_filled-in.pdf","Nonpartisan","None",,1,,"Walker",1
"2741","YouGov/Economist","2014-11-08","2014-11-10","2014-12-05T23:09:48Z",1000,"Adults","Internet",28,28,44,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21491","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ofjleryhfh/econToplines.pdf","Nonpartisan","None",,1,,"Walker",0
"2742","YouGov/Economist","2014-11-01","2014-11-03","2014-11-12T17:42:57Z",1000,"Adults","Internet",24,30,47,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21425","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/5ay3ii6cio/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-6
"2743","YouGov/Economist","2014-10-25","2014-10-27","2014-11-12T17:16:51Z",1000,"Adults","Internet",25,29,45,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21424","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/sqyquubzea/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-4
"2744","YouGov/Economist","2014-10-18","2014-10-20","2014-11-12T16:47:39Z",1000,"Adults","Internet",24,28,49,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-21423","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/x7474kav9p/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-4
"2745","YouGov/Economist","2014-10-11","2014-10-13","2014-10-16T18:55:06Z",1000,"Adults","Internet",23,31,46,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20905","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3ahawzfzp3/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-8
"2746","YouGov/Economist","2014-10-04","2014-10-06","2014-10-10T15:42:26Z",1000,"Adults","Internet",27,29,43,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20791","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/tpx0yelhkc/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-2
"2747","YouGov/Economist","2014-09-27","2014-09-29","2014-10-10T15:32:35Z",1000,"Adults","Internet",21,32,46,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20790","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/b0obdj3l9f/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-11
"2748","YouGov/Economist","2014-09-20","2014-09-22","2014-09-26T15:47:54Z",1000,"Adults","Internet",26,26,48,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20590","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/0pgcgrpbx9/econToplines.pdf","Nonpartisan","None",,1,,"Walker",0
"2749","YouGov/Economist","2014-09-13","2014-09-15","2014-09-18T16:13:55Z",1000,"Adults","Internet",31,24,44,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20492","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/w4lv7z1xnz/econToplines.pdf","Nonpartisan","None",,1,,"Walker",7
"2750","YouGov/Economist","2014-09-06","2014-09-08","2014-09-15T15:17:47Z",1000,"Adults","Internet",24,29,47,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20426","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ggkntw9ysn/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-5
"2751","YouGov/Economist","2014-08-30","2014-09-01","2014-09-05T21:53:40Z",1000,"Adults","Internet",28,28,44,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20284","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3w721b8o85/econToplines.pdf","Nonpartisan","None",,1,,"Walker",0
"2752","YouGov/Economist","2014-08-23","2014-08-25","2014-08-28T18:42:18Z",1000,"Adults","Internet",23,31,45,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20229","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3q5xgxw54u/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-8
"2753","YouGov/Economist","2014-08-16","2014-08-18","2014-08-22T20:48:10Z",1000,"Adults","Internet",27,28,44,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20180","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/qaprx6ei8u/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-1
"2754","YouGov/Economist","2014-08-09","2014-08-11","2014-08-18T17:01:46Z",1000,"Adults","Internet",26,29,45,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20130","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/kpttc84jke/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-3
"2755","YouGov/Economist","2014-08-02","2014-08-04","2014-08-07T14:18:23Z",1000,"Adults","Internet",24,31,44,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20060","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4p77753nxv/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-7
"2756","YouGov/Economist","2014-07-26","2014-07-28","2014-07-30T14:49:00Z",1000,"Adults","Internet",24,32,44,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-20005","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zfxv8cg1n7/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-8
"2757","AP-GfK (Web)","2014-07-24","2014-07-28","2014-08-01T15:04:22Z",1044,"Adults","Internet",17,21,63,"http://elections.huffingtonpost.com/pollster/polls/ap-gfk-web-20024","http://ap-gfkpoll.com/main/wp-content/uploads/2014/08/AP-GfK-July-2014-Poll-Topline-FINAL_Politics.pdf","Nonpartisan","None",,1,,"Walker",-4
"2758","YouGov/Economist","2014-07-19","2014-07-21","2014-07-23T16:00:34Z",1000,"Adults","Internet",28,28,44,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19908","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/oum29cwcdw/econToplines.pdf","Nonpartisan","None",,1,,"Walker",0
"2759","YouGov/Economist","2014-07-12","2014-07-14","2014-07-16T18:32:20Z",1000,"Adults","Internet",28,30,43,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19867","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/xo0qdo71c4/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-2
"2760","Gallup","2014-07-07","2014-07-10","2014-07-17T15:20:08Z",1013,"Adults","Live Phone",18,16,66,"http://elections.huffingtonpost.com/pollster/polls/gallup-19870","http://www.gallup.com/poll/173402/clinton-best-known-best-liked-potential-2016-candidate.aspx","Nonpartisan","None",,1,,"Walker",2
"2761","YouGov/Economist","2014-07-05","2014-07-07","2014-07-09T15:31:51Z",1000,"Adults","Internet",27,27,45,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19819","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ohtvouo0m3/econToplines.pdf","Nonpartisan","None",,1,,"Walker",0
"2762","YouGov/Economist","2014-06-28","2014-06-30","2014-07-07T14:50:40Z",1000,"Adults","Internet",26,32,42,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19801","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/9khafvwx45/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-6
"2763","Quinnipiac","2014-06-24","2014-06-30","2014-07-08T15:18:21Z",723,"Registered Voters","Live Phone",18,17,64,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-19810","http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2058","Nonpartisan","None",,1,,"Walker",1
"2764","YouGov/Economist","2014-06-21","2014-06-23","2014-06-25T15:14:53Z",1000,"Adults","Internet",25,30,45,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19750","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/whwya8cz98/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-5
"2765","YouGov/Economist","2014-06-14","2014-06-16","2014-06-20T16:52:09Z",1000,"Adults","Internet",24,33,43,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19716","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/sksflbbp35/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-9
"2766","YouGov/Economist","2014-06-07","2014-06-09","2014-06-11T19:04:50Z",1000,"Adults","Internet",23,28,49,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19633","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/wfvx48bs5j/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-5
"2767","YouGov/Economist","2014-03-22","2014-03-24","2014-03-26T16:39:56Z",1000,"Adults","Internet",28,29,44,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-19132","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/mlun45jw3v/econToplines.pdf","Nonpartisan","None",,1,,"Walker",-1
